name,state,facility_type
"NORTHWEST REGIONAL CORRECTIONS CENT","MN","Northwest Regional Corr Ctr"
"Dakota Co Sheriffs Dept","MN","Dakota Co Sheriffs Dept"
"Mille Lacs County Jail","MN","Mille Lacs County Jail"
"WASHINGTON COUNTY JAIL","MN","WASHINGTON COUNTY JAIL"
"CHICKASAW COUNTY JAIL (CHICKASAW COUNTY JAIL)","MS","Chickasaw County Jail"
"CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY (CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY)","MS","Chickasaw County Jail"
"Issaquena County Correctional","MS","Issaquena County Correctional"
"Issaquena County Correctional State","MS","Issaquena County Correctional"
"CAPE GIRARDEAU COUNTY JAIL","MO","CAPE GIRARDEAU COUNTY JAIL"
"Pettis Co Jail","MO","Pettis Co Jail"
"St Louis Co Jail","MO","St Louis Co Jail"
"Lincoln County Sheriffs Dept","MT","Lincoln County Sheriffs Dept"
"Sarpy Co Jail","NE","Sarpy Co"
"Sarpy Co Juvy Justice Ctr","NE","Sarpy Co"
"Churchill County Sheriff's Office NV","NV","Churchill County Sheriffs Office"
"Henderson Detention Center","NV","Henderson Detention Center"
"Humboldt County","NV","Humboldt County"
"Belknap County HOC","NH","Belknap County HOC"
"Rockingham DOC","NH","Rockingham County DOC"
"LUNA COUNTY DETENTION FACILITY","NM","LUNA COUNTY DETENTION FACILITY"
"Eddy County Adult Detention","NM","Eddy County Adult Detention"
"Eddy County Bldg 2 NM","NM","Eddy County Adult Detention"
"HIDALGO COUNTY DETENTION CENTER","NM","HIDALGO COUNTY DETENTION CENTER"
"Roosevelt County Adult Detention Center","NM","Roosevelt County Adult Detention Center"
"San Miguel County Detention Center","NM","San Miguel County Detention Center"
"Cattaraugus County Jail","NY","Cattaraugus County Jail"
"Franklin County Sheriff's Dept","NY","FRANKLIN COUNTY SHERIFF DEPT"
"Fulton County Correctional Facility","NY","Fulton County Correctional Facility"
"Jefferson County Correctional Facility","NY","Jefferson County Correctional Facility"
"Suffolk County Riverhead","NY","Suffolk County"
"Suffolk County Yaphank","NY","Suffolk County"
"Tompkins County Jail","NY","Tompkins County Jail"
"CLEVELAND COUNTY DETENTION FACILITY","NC","CLEVELAND COUNTY DETENTION FACILITY"
"CLEVELAND COUNTY JAIL ANNEX","NC","CLEVELAND COUNTY DETENTION FACILITY"
"STANLY COUNTY JAIL","NC","Stanly County Jail"
"Brunswick Co Jail","NC","Brunswick Co Jail"
"Franklin County Detention Center","NC","Franklin County Detention Center"
"Johnston Co Det Ctr","NC","Johnston Co Det Ctr"
"Johnston Co Jail","NC","Johnston Co Det Ctr"
"ONSLOW COUNTY JAIL","NC","ONSLOW COUNTY JAIL"
"Pamlico Co Det Fac","NC","Pamlico Co Det Fac"
"Rutherford County Detention Center","NC","Rutherford County Detention Center"
"Heart of America Correctional","ND","Heart of America Correctional  Treatment Cntr"
"HOA DOC","ND","Heart of America Correctional  Treatment Cntr"
"Butler County Adult Probation (824MLK)","OH","Butler County Adult Probation"
"Clinton County Adult Detention","OH","Clinton County Adult Detention"
"Cuyahoga County Juvenile Detention","OH","Cuyahoga County Justice Center"
"East Ohio Correctional Center Annex","OH","East Ohio Correctional Center"
"East Ohio Correctional Center","OH","East Ohio Correctional Center"
"Hancock County Sheriff's Office (HANCOCKOH)","OH","Hancock County Sheriffs Office"
"Washington CCC","OR","Washington County"
"Washington County","OR","Washington County"
"Adams County Clerk Of Courts","PA","Adams County Clerk of Courts"
"Monroe County Correctional Facility","PA","Monroe Co Corr Fac"
"Wyoming County Correctional","PA","Wyoming County Corr Facility"
"Anderson City Jail","SC","Anderson City Jail"
"Charleston Co Det Ctr","SC","Charleston Co Det Ctr"
"Charleston Co Juvy Det Ctr","SC","Charleston Co Det Ctr"
"Dillon County Jail","SC","Dillon County Jail"
"Fairfield Co Det Ctr","SC","Fairfield Co Det Ctr"
"Pickens County Detention Facility","SC","Pickens County Detention Facility"
"SUMTER COUNTY DETENTION CENTER","SC","SUMTER COUNTY DETENTION CENTER"
"Bedford County Sheriffs Department","TN","Bedford County Sheriffs Department"
"Bradley County Jail","TN","Bradley County Jail"
"Carter County Jail","TN","Carter County Jail"
"Dekalb County Jail","TN","DEKALB COUNTY JAIL"
"Hamilton County Alternative Sentencing (HCC)","TN","Hamilton County Alternative Sentencing"
"Johnson County Jail","TN","Johnson County Jail"
"MARION COUNTY JAIL","TN","Marion County Jail"
"MCMINN COUNTY JUSTICE CENTER","TN","MCMINN COUNTY JUSTICE CENTER"
"Montgomery Co Jail","TN","Montgomery Co Jail"
"Montgomery Co WH","TN","Montgomery Co Jail"
"Rhea County Jail","TN","Rhea County Jail"
"WARREN COUNTY JAIL (WRN)","TN","WARREN COUNTY JAIL"
"Dallas County CSCD","TX","Dallas County CSCD"
"Dallas Co Lew Sterrett North Tower","TX","Dallas County Jail"
"Dallas Co Lew Sterrett West Tower","TX","Dallas County Jail"
"Dallas Co Suzanne Kays Det Ctr","TX","Dallas County Jail"
"Dallas County Jail (DCJ)","TX","Dallas County Jail"
"Fannin County Detention","TX","Fannin County Detention"
"FANNIN COUNTY JAIL ANNEX","TX","Fannin County Detention"
"FORT BEND COUNTY CORRECTIONAL FACILITY","TX","Fort Bend County Correctional Facility"
"Gateway Foundation - Atascocita Men's Facility","TX","Gateway Foundation   Atascocita Mens Facility"
"GRAND PRAIRIE POLICE DEPT","TX","Grand Prairie Police Dept"
"Harris County Sheriff’s Office","TX","Harris County Sheriffs Office"
"Hays Co Law Enforcement Ctr","TX","Hays Co Law Enforcement Ctr"
"MONTGOMERY COUNTY JAIL","TX","Montgomery County Jail"
"Rockwall County Jail","TX","Rockwall County Jail"
"Box Elder County Jail","UT","Box Elder County Jail"
"Sanpete County Jail","UT","SANPETE COUNTY JAIL"
"UTAH COUNTY JAIL","UT","UTAH COUNTY JAIL"
"Weber County Correctional Facility","UT","Weber County Correctional Facility"
"Accomack County Jail","VA","Accomack County Jail"
"Arlington County Det Ctr","VA","Arlington County Detention Center"
"Chesapeake Correctional Center","VA","Chesapeake Correctional Center"
"Lancaster County Jail","VA","Lancaster County Corrections Center"
"Middle Peninsula Reg Jail","VA","Middle Peninsula Reg Jail"
"Northern Neck Reg Jail","VA","Northern Neck Reg Jail"
"SUSSEX COUNTY JAIL","VA","SUSSEX COUNTY JAIL"
"CITY OF KENT","WA","City of Kent"
"King County Correctional Facility","WA","King County"
"King County Maleng Regional Justice Center","WA","King County"
"Lynnwood Police Department","WA","Lynnwood Police Department"
"Score-South Correctional Entity","WA","Score South Correctional Entity"
"Spokane County Geiger Corrections Center","WA","Spokane County Detention Services"
"Spokane County Jail","WA","Spokane County Detention Services"
"Yakima County Jail Main and Annex","WA","Yakima County Jail Main and Annex"
"Brown Co Jail","WI","Brown Co Jail"
"Brown County Work Release","WI","Brown Co Jail"
"Eau Claire County Jail - Main","WI","Eau Claire County Sheriffs Office"
"Juneau Co Justice Ctr","WI","Juneau Co Justice Ctr"
"La Crosse County Jail","LA","CROSSE COUNTY JAIL"
"Monroe County Sheriffs Office","WI","Monroe Co"
"Racine County Jail - Doc Inmates","WI","RACINE COUNTY JAIL"
"RACINE COUNTY JAIL","WI","RACINE COUNTY JAIL"
"Sheboygan County Detention Center","WI","Sheboygan Co Det Ctr"
"Sheboygan County Jail","WI","Sheboygan Co Det Ctr"
